,l_gx,l_gy,r_gx,r_gy
68,434.0,251.0,475.0,268.0
69,440.0,257.0,485.0,279.0
70,462.0,270.0,513.0,291.0
71,508.0,280.0,565.0,299.0
72,566.0,267.0,618.0,280.0
73,605.0,234.0,619.25,281.75
74,612.0,247.0,620.5,283.5
75,610.0,277.0,621.75,285.25
76,593.0,269.0,623.0,287.0
77,584.0,263.0,619.0,281.0
78,581.0,262.0,619.0,283.0
79,584.0,263.0,621.0,281.0
80,596.0,260.0,627.0,279.0
81,609.0,258.0,627.1428571428571,279.2857142857143
82,614.0,258.0,627.2857142857143,279.57142857142856
83,617.0,258.0,627.4285714285714,279.85714285714283
84,618.0,258.0,627.5714285714286,280.14285714285717
85,619.0,259.0,627.7142857142857,280.42857142857144
86,615.0,260.0,627.8571428571429,280.7142857142857
87,606.0,260.0,628.0,281.0
88,596.0,264.0,624.0,285.0
89,592.0,265.0,623.0,284.0
90,593.0,260.0,624.0,278.0
91,597.0,258.0,625.0,278.0
92,599.0,259.0,626.0,279.0
93,600.0,260.0,626.0,280.0
94,601.0,261.0,626.0,281.0
95,600.0,261.0,627.0,281.0
96,599.0,261.0,626.0,281.0
97,593.0,259.0,622.0,279.0
98,589.0,260.0,621.0,279.0
99,578.0,257.0,616.0,277.0
100,575.0,258.0,614.0,277.0
101,576.0,259.0,615.0,278.0
102,576.0,257.0,616.0,278.0
103,578.0,259.0,616.0,277.0
104,578.0,259.0,617.0,278.0
105,577.0,258.0,617.0,278.0
106,574.0,258.0,614.0,277.0
107,574.0,260.0,615.0,279.0
108,566.0,257.0,611.0,277.0
109,566.0,260.0,608.0,277.0
110,560.0,258.0,605.0,277.0
111,557.0,258.0,603.0,278.0
112,555.0,259.0,601.0,278.0
113,549.0,258.0,596.0,277.0
114,549.0,259.0,595.0,278.0
115,544.0,258.0,591.0,278.0
116,543.0,259.0,589.0,278.0
117,540.0,258.0,586.0,278.0
118,538.0,259.0,584.0,279.0
119,534.0,259.0,582.0,279.0
120,533.0,260.0,580.0,280.0
121,529.0,259.0,576.0,278.0
122,527.0,260.0,576.0,280.0
123,525.0,259.0,573.0,278.0
124,520.0,258.0,569.0,277.0
125,522.0,260.0,570.0,279.0
126,520.0,258.0,568.0,277.0
127,519.0,258.0,567.0,278.0
128,515.0,258.0,564.0,278.0
129,512.0,258.0,561.0,277.0
130,509.0,259.0,558.0,278.0
131,507.0,259.0,556.0,278.0
132,504.0,259.0,554.0,278.0
133,503.0,259.0,553.0,279.0
134,501.0,259.0,551.0,278.0
135,499.0,259.0,549.0,278.0
136,497.0,259.0,547.0,278.0
137,495.0,259.0,545.0,279.0
138,493.0,259.0,544.0,278.0
139,491.0,259.0,541.0,278.0
140,490.0,260.0,541.0,279.0
141,488.0,259.0,539.0,278.0
142,486.0,259.0,537.0,278.0
143,485.0,259.0,536.0,278.0
144,484.0,259.0,535.0,278.0
145,482.0,259.0,533.0,278.0
146,482.0,259.0,533.0,278.0
147,482.0,260.0,533.0,278.0
148,483.0,260.0,534.0,279.0
149,483.0,260.0,534.0,279.0
150,483.0,260.0,535.0,279.0
151,483.0,260.0,535.0,279.0
152,483.0,260.0,535.0,279.0
153,483.0,260.0,534.0,279.0
154,483.0,260.0,534.0,279.0
155,478.0,259.0,531.0,278.0
156,470.0,260.0,522.0,279.0
157,454.0,267.0,508.0,284.0
158,440.0,270.0,493.0,287.0
159,427.0,273.0,480.0,291.0
160,411.0,282.0,465.0,298.0
161,400.0,287.0,453.0,303.0
162,394.0,295.0,447.0,312.0
163,392.0,302.0,444.0,317.0
164,394.0,315.0,446.0,331.0
165,397.0,322.0,448.0,339.0
166,399.0,323.0,451.0,340.0
167,405.0,329.0,456.0,346.0
168,408.0,331.0,459.0,348.0
169,412.0,336.0,463.0,353.0
170,419.0,345.0,470.0,362.0
171,424.0,345.0,475.0,362.0
172,433.0,356.0,485.0,373.0
173,443.0,364.0,494.0,382.0
174,452.0,365.0,503.0,384.0
175,462.0,364.0,513.0,384.0
176,470.0,357.0,521.0,377.0
177,478.0,355.0,529.0,375.0
178,484.0,348.0,535.0,368.0
179,488.0,341.0,540.0,362.0
180,494.0,334.0,546.0,355.0
181,498.0,328.0,549.0,348.0
182,502.0,320.0,553.0,341.0
183,508.0,313.0,560.0,334.0
184,515.0,299.0,566.0,320.0
185,520.0,286.0,571.0,308.0
186,524.0,275.0,576.0,296.0
187,523.0,263.0,575.0,284.0
188,521.0,260.0,574.0,280.0
189,514.0,244.0,566.0,264.0
190,503.0,236.0,555.0,256.0
191,491.0,225.0,543.0,246.0
192,477.0,215.0,530.0,234.0
193,468.0,209.0,520.0,229.0
194,458.0,196.0,510.0,217.0
195,443.0,181.0,495.0,200.0
196,432.0,175.0,484.0,193.0
197,424.0,175.0,476.0,193.0
198,420.0,175.0,471.0,193.0
199,417.0,175.0,468.0,193.0
200,415.0,169.0,466.0,188.0
201,413.0,163.0,464.0,181.0
202,410.0,157.0,462.0,176.0
203,407.0,154.0,458.0,172.0
204,403.0,151.0,455.0,169.0
205,398.0,149.0,450.0,167.0
206,392.0,149.0,444.0,166.0
207,387.0,153.0,439.0,170.0
208,382.0,160.0,434.0,177.0
209,379.0,165.0,431.0,182.0
210,377.0,169.0,429.0,186.0
211,378.0,179.0,430.0,195.0
212,379.0,192.0,432.0,206.0
213,382.0,206.0,434.0,221.0
214,383.0,213.0,435.0,229.0
215,384.0,217.0,436.0,233.0
216,385.0,224.0,437.0,240.0
217,384.0,233.0,436.0,249.0
218,383.0,248.0,435.0,263.0
219,381.0,256.0,433.0,272.0
220,377.0,257.0,429.0,273.0
221,370.0,255.0,423.0,271.0
222,363.0,253.0,416.0,269.0
223,359.0,266.0,411.0,282.0
224,357.0,282.0,409.0,296.0
225,359.0,293.0,411.0,308.0
226,362.0,300.0,414.0,316.0
227,364.0,313.0,416.0,328.0
228,365.0,322.0,417.0,338.0
229,364.0,328.0,416.0,344.0
230,364.0,332.0,416.0,348.0
231,368.0,342.0,420.0,358.0
232,372.0,341.0,424.0,358.0
233,378.0,343.0,429.0,360.0
234,383.0,344.0,435.0,361.0
235,389.0,344.0,440.0,361.0
236,407.0,359.0,458.0,375.0
237,426.0,365.0,477.0,382.0
238,440.0,366.0,491.0,384.0
239,456.0,371.0,506.0,389.0
240,465.0,374.0,516.0,393.0
241,473.0,375.0,525.0,395.0
242,477.0,373.0,529.0,393.0
243,479.0,368.0,532.0,389.0
244,482.0,370.0,534.0,390.0
245,482.0,368.0,534.0,388.0
246,483.0,364.0,535.0,385.0
247,483.0,358.0,535.0,379.0
248,482.0,354.0,534.0,374.0
249,481.0,347.0,534.0,368.0
250,484.0,334.0,536.0,354.0
251,491.0,336.0,542.0,355.0
252,501.0,337.0,553.0,357.0
253,515.0,334.0,565.0,355.0
254,529.0,320.0,579.0,343.0
255,540.0,302.0,590.0,324.0
256,546.0,297.0,598.0,318.0
257,547.0,290.0,599.0,312.0
258,545.0,280.0,598.0,301.0
259,541.0,274.0,594.0,296.0
260,535.0,269.0,588.0,289.0
261,532.0,243.0,584.0,266.0
262,531.0,228.0,582.0,249.0
263,528.0,221.0,579.0,240.0
264,529.0,219.0,580.0,240.0
265,532.0,219.0,583.0,238.0
266,535.0,209.0,585.0,231.0
267,544.0,190.0,594.0,213.0
268,549.0,175.0,598.0,197.0
269,552.0,164.0,603.0,184.0
270,554.0,164.0,604.0,184.0
271,547.0,161.0,598.0,182.0
272,537.0,156.0,589.0,176.0
273,522.0,139.0,573.0,161.0
274,503.0,129.0,555.0,150.0
275,490.0,130.0,542.0,150.0
276,474.0,134.0,526.0,153.0
277,464.0,137.0,515.0,156.0
278,455.0,134.0,506.0,154.0
279,445.0,132.0,497.0,151.0
280,434.0,133.0,487.0,151.0
281,423.0,136.0,475.0,155.0
282,418.0,141.0,469.0,159.0
283,403.0,150.0,458.0,168.0
284,392.0,157.0,445.0,174.0
285,382.0,166.0,436.0,181.0
286,373.0,180.0,426.0,196.0
287,367.0,193.0,420.0,209.0
288,364.0,204.0,416.0,218.0
289,364.0,213.0,417.0,230.0
290,367.0,222.0,419.0,236.0
291,372.0,235.0,425.0,251.0
292,377.0,256.0,429.0,270.0
293,382.0,265.0,435.0,280.0
294,388.0,276.0,440.0,292.0
295,390.0,278.0,441.0,293.0
296,387.0,292.0,440.0,308.0
297,379.0,306.0,433.0,321.0
298,371.0,313.0,425.0,329.0
299,366.0,323.0,419.0,339.0
300,365.0,328.0,417.0,344.0
301,369.0,338.0,421.0,354.0
302,376.0,341.0,428.0,357.0
303,384.0,342.0,440.0,358.0
304,403.0,346.0,460.0,364.0
305,420.0,345.0,478.0,362.0
306,441.0,345.0,499.0,362.0
307,459.0,342.0,514.0,361.0
308,473.0,335.0,532.0,350.0
309,499.0,322.0,551.0,343.0
310,507.0,311.0,563.0,325.0
311,519.0,290.0,572.0,308.0
312,524.0,274.0,576.0,288.0
313,523.0,259.0,574.0,278.0
314,521.0,248.0,572.0,261.0
315,516.0,222.0,566.0,238.0
316,510.0,203.0,559.0,220.0
317,503.0,201.0,552.0,219.0
318,492.0,189.0,541.0,210.0
319,477.0,189.0,521.0,208.0
320,453.0,193.0,500.0,213.0
321,435.0,202.0,483.0,224.0
322,419.0,217.0,468.0,237.0
323,407.0,224.0,458.0,242.0
324,397.0,238.0,448.0,255.0
325,388.0,248.0,439.0,267.0
326,382.0,257.0,435.0,276.0
327,378.0,265.0,430.0,284.0
328,378.0,278.0,431.0,297.0
329,380.0,294.0,433.0,315.0
330,386.0,309.0,441.0,329.0
331,398.0,319.0,453.0,337.0
332,410.0,316.0,467.0,332.0
333,425.0,310.0,480.0,326.0
334,438.0,306.0,493.0,323.0
335,449.0,300.0,503.0,316.0
336,462.0,294.0,518.0,310.0
337,472.0,281.0,527.0,298.0
338,483.0,267.0,537.0,278.0
339,492.0,244.0,547.0,261.0
340,498.0,237.0,550.0,253.0
341,501.0,234.0,554.0,252.0
342,498.0,233.0,550.0,250.0
343,493.0,221.0,541.0,238.0
344,481.0,215.0,530.0,233.0
345,466.0,213.0,515.0,231.0
346,450.0,216.0,497.0,234.0
347,433.0,223.0,482.0,245.0
348,421.0,236.0,471.0,256.0
349,415.0,248.0,466.0,266.0
350,413.0,268.0,468.0,296.0
351,417.0,298.0,468.0,319.0
352,417.0,310.0,470.0,329.0
353,417.0,308.0,468.0,323.0
354,415.0,298.0,464.0,310.0
355,404.0,282.0,457.0,298.0
356,397.0,270.0,448.0,285.0
357,393.0,271.0,445.0,288.0
358,389.0,263.0,442.0,280.0
359,388.0,260.0,440.0,275.0
360,387.0,258.0,439.0,275.0
361,386.0,257.0,439.0,275.0
362,386.0,263.0,438.0,280.0
363,380.0,268.0,432.0,286.0
364,372.0,267.0,423.0,282.0
365,363.0,260.0,414.0,273.0
366,353.0,251.0,405.0,265.0
367,349.0,241.0,402.0,254.0
368,358.0,227.0,413.0,239.0
369,374.0,209.0,430.0,221.0
370,390.0,203.0,445.0,219.0
371,401.0,195.0,454.0,209.0
372,403.0,183.0,457.0,200.0
373,408.0,180.0,459.0,198.0
374,408.0,180.0,462.0,199.0
375,414.0,185.0,467.0,203.0
376,424.0,189.0,477.0,208.0
377,433.0,190.0,487.0,208.0
378,445.0,192.0,499.0,209.0
379,450.0,190.0,503.0,210.0
380,459.0,195.0,513.0,214.0
381,466.0,199.0,519.0,218.0
382,466.0,203.0,520.0,222.0
383,467.0,209.0,521.0,229.0
384,464.0,215.0,517.0,234.0
385,463.0,222.0,516.0,241.0
386,465.0,230.0,519.0,249.0
387,469.0,237.0,522.0,256.0
388,472.0,242.0,526.0,263.0
389,476.0,257.0,530.0,278.0
390,474.0,268.0,527.0,287.0
391,469.0,274.0,522.0,293.0
392,467.0,283.0,521.0,304.0
393,467.0,299.0,522.0,322.0
394,468.0,314.0,520.0,335.0
395,460.0,308.0,510.0,327.0
396,449.0,305.0,499.0,322.0
397,435.0,308.0,484.0,327.0
398,421.0,318.0,472.0,335.0
399,413.0,315.0,464.0,334.0
400,406.0,317.0,456.0,334.0
401,399.0,312.0,449.0,328.0
402,391.0,303.0,440.0,318.0
403,384.0,295.0,435.0,310.0
404,385.0,293.0,437.0,308.0
405,383.0,288.0,436.0,303.0
406,385.0,282.0,439.0,296.0
407,390.0,274.0,443.0,288.0
408,394.0,270.0,447.0,286.0
409,397.0,261.0,450.0,274.0
410,398.0,249.0,451.0,264.0
411,399.0,238.0,452.0,252.0
412,405.0,222.0,456.0,235.0
413,408.0,203.0,460.0,216.0
414,408.0,194.0,461.0,211.0
415,410.0,195.0,461.0,216.0
416,413.0,204.0,464.0,223.0
417,419.0,197.0,473.0,213.0
418,435.0,187.0,487.0,203.0
419,450.0,181.0,503.0,204.0
420,460.0,196.0,513.0,217.0
421,468.0,205.0,522.0,224.0
422,473.0,209.0,527.0,227.0
423,479.0,210.0,534.0,230.0
424,488.0,217.0,544.0,238.0
425,493.0,224.0,545.0,242.0
426,494.0,228.0,546.0,247.0
427,491.0,234.0,544.0,254.0
428,490.0,239.0,545.0,258.0
429,489.0,242.0,543.0,263.0
430,484.0,250.0,538.0,270.0
431,485.0,264.0,538.0,285.0
432,483.0,273.0,536.0,293.0
433,483.0,289.0,537.0,305.0
434,484.0,301.0,539.0,319.0
435,483.0,291.0,538.0,312.0
436,479.0,286.0,533.0,305.0
437,474.0,278.0,529.0,298.0
438,474.0,283.0,528.0,300.0
439,473.0,294.0,527.0,311.0
440,465.0,304.0,520.0,321.0
441,460.0,315.0,514.0,332.0
442,460.0,315.0,514.0,335.0
443,463.0,303.0,517.0,322.0
444,463.0,300.0,516.0,318.0
445,462.0,315.0,517.0,332.0
446,456.0,323.0,510.0,340.0
447,446.0,317.0,500.0,336.0
448,434.0,304.0,488.0,322.0
449,419.0,300.0,473.0,316.0
450,412.0,302.0,465.0,319.0
451,410.0,297.0,463.0,314.0
452,410.0,290.0,462.0,307.0
453,420.0,286.0,471.0,303.0
454,431.0,285.0,483.0,303.0
455,439.0,290.0,492.0,307.0
456,440.0,291.0,493.0,310.0
457,440.0,284.0,493.0,303.0
458,441.0,275.0,495.0,298.0
459,440.0,266.0,494.0,289.0
460,434.0,241.0,488.0,261.0
461,431.0,226.0,485.0,246.0
462,426.0,218.0,480.0,234.0
463,425.0,229.0,480.0,246.0
464,423.0,221.0,476.0,239.0
465,423.0,217.0,476.0,236.0
466,428.0,207.0,480.0,226.0
467,435.0,191.0,486.0,210.0
468,442.0,183.0,493.0,201.0
469,448.0,180.0,498.0,199.0
470,457.0,174.0,507.0,192.0
471,466.0,176.0,516.0,194.0
472,472.0,180.0,523.0,197.0
473,483.0,184.0,534.0,202.0
474,493.0,185.0,543.0,203.0
475,498.0,184.0,550.0,203.0
476,502.0,187.0,554.0,206.0
477,503.0,194.0,555.0,211.0
478,502.0,200.0,555.0,218.0
479,505.0,204.0,557.0,222.0
480,511.0,209.0,563.0,228.0
481,513.0,216.0,565.0,234.0
482,518.0,226.0,570.0,243.0
483,520.0,240.0,572.0,258.0
484,520.0,253.0,573.0,271.0
485,514.0,255.0,567.0,273.0
486,510.0,263.0,563.0,281.0
487,508.0,276.0,562.0,293.0
488,504.0,298.0,558.0,316.0
489,498.0,305.0,551.0,325.0
490,493.0,303.0,546.0,323.0
491,494.0,308.0,547.0,326.0
492,491.0,311.0,545.0,329.0
493,482.0,326.0,536.0,343.0
494,473.0,337.0,528.0,355.0
495,472.0,332.0,525.0,353.0
496,472.0,338.0,525.0,356.0
497,469.0,350.0,521.0,369.0
498,463.0,348.0,516.0,369.0
499,449.0,345.0,503.0,364.0
500,438.0,347.0,490.0,366.0
501,429.0,350.0,480.0,369.0
502,423.0,341.0,474.0,359.0
503,410.0,334.0,463.0,353.0
504,396.0,332.0,449.0,349.0
505,386.0,330.0,439.0,347.0
506,379.0,322.0,431.0,340.0
507,374.0,312.0,425.0,329.0
508,368.0,303.0,418.0,319.0
509,375.0,298.0,427.0,315.0
510,385.0,287.0,436.0,304.0
511,393.0,280.0,443.0,298.0
512,399.0,269.0,450.0,286.0
513,401.0,252.0,453.0,270.0
514,402.0,235.0,454.0,252.0
515,400.0,228.0,453.0,244.0
516,400.0,225.0,453.0,241.0
517,398.0,221.0,450.0,236.0
518,400.0,225.0,453.0,240.0
519,402.0,221.0,455.0,238.0
520,405.0,209.0,459.0,227.0
521,407.0,199.0,461.0,216.0
522,409.0,197.0,463.0,214.0
523,414.0,192.0,468.0,209.0
524,418.0,184.0,472.0,202.0
525,421.0,179.0,475.0,196.0
526,425.0,185.0,479.0,201.0
527,429.0,188.0,482.0,206.0
528,435.0,191.0,487.0,208.0
529,442.0,192.0,494.0,210.0
530,455.0,191.0,507.0,209.0
531,469.0,188.0,521.0,206.0
532,481.0,195.0,534.0,212.0
533,488.0,202.0,541.0,219.0
534,489.0,205.0,544.0,223.0
535,481.0,208.0,537.0,226.0
536,469.0,213.0,525.0,231.0
537,459.0,215.0,514.0,232.0
538,462.0,218.0,515.0,235.0
539,474.0,218.0,526.0,237.0
540,492.0,223.0,543.0,240.0
541,512.0,235.0,565.0,252.0
542,524.0,253.0,580.0,272.0
543,529.0,261.0,585.0,280.0
544,528.0,271.0,585.0,289.0
545,519.0,281.0,576.0,298.0
546,503.0,268.0,560.0,289.0
547,490.0,264.0,545.0,281.0
548,485.0,275.0,541.0,292.0
549,475.0,294.0,532.0,312.0
550,460.0,296.0,517.0,315.0
551,444.0,281.0,502.0,299.0
552,428.0,285.0,485.0,302.0
553,416.0,288.0,470.0,304.0
554,420.0,293.0,472.0,309.0
555,440.0,305.0,494.0,322.0
556,454.0,310.0,509.0,326.0
557,451.0,312.0,508.0,330.0
558,436.0,304.0,494.0,322.0
559,414.0,296.0,472.0,312.0
560,401.0,294.0,457.0,310.0
561,389.0,286.0,444.0,303.0
562,383.0,271.0,438.0,289.0
563,385.0,258.0,441.0,275.0
564,390.0,254.0,444.0,270.0
565,399.0,244.0,454.0,262.0
566,407.0,228.0,459.0,245.0
567,415.0,231.0,469.0,248.0
568,423.0,231.0,478.0,247.0
569,431.0,229.0,485.0,246.0
570,445.0,227.0,498.0,243.0
571,458.0,230.0,512.0,247.0
572,474.0,236.0,529.0,253.0
573,486.0,240.0,542.0,257.0
574,491.0,247.0,537.75,265.75
575,488.0,258.0,533.5,274.5
576,480.0,271.0,529.25,283.25
577,468.0,276.0,525.0,292.0
578,454.0,282.0,513.0,301.0
579,439.0,277.0,498.6666666666667,297.3333333333333
580,417.0,283.0,484.3333333333333,293.6666666666667
581,392.0,286.0,470.0,290.0
582,378.0,275.0,455.6666666666667,286.3333333333333
583,372.0,267.0,441.3333333333333,282.6666666666667
584,373.0,264.0,427.0,279.0
585,388.0,263.0,442.0,279.0
586,409.0,255.0,462.0,273.0
587,426.0,246.0,479.0,263.0
588,447.0,255.0,501.0,271.0
589,466.0,264.0,520.0,281.0
590,479.0,265.0,535.0,283.0
591,490.0,266.0,528.0,284.14285714285717
592,493.0,268.0,521.0,285.2857142857143
593,488.0,277.0,514.0,286.42857142857144
594,477.0,288.0,507.0,287.57142857142856
595,464.0,301.0,500.0,288.7142857142857
596,448.0,288.0,493.0,289.85714285714283
597,428.0,276.0,486.0,291.0
598,404.0,288.0,460.0,303.0
599,390.0,296.0,445.0,312.0
600,391.0,285.0,445.0,303.0
601,392.0,273.0,446.0,290.0
602,407.0,276.0,459.0,292.0
603,426.0,284.0,478.0,301.0
604,435.0,283.0,490.0,302.0
605,427.0,278.0,483.0,296.0
606,402.0,275.0,460.0,293.0
607,381.0,278.0,436.0,294.0
608,367.0,283.0,422.0,298.0
609,368.0,284.0,421.0,300.0
610,380.0,283.0,433.0,300.0
611,394.0,277.0,445.0,295.0
612,404.0,271.0,455.0,289.0
613,412.0,262.0,464.0,280.0
614,420.0,265.0,470.0,282.0
615,421.0,263.0,473.0,281.0
616,412.0,254.0,466.0,272.0
617,400.0,245.0,454.0,264.0
618,396.0,238.0,448.0,254.0
619,393.0,243.0,447.0,258.0
620,397.0,261.0,450.0,276.0
621,404.0,261.0,457.0,277.0
622,410.0,262.0,467.0,276.0
623,414.0,282.0,472.0,307.0
624,418.0,312.0,474.0,329.0
625,420.0,319.0,478.0,339.0
626,426.0,324.0,480.0,339.0
627,428.0,319.0,482.0,336.0
628,423.0,307.0,475.0,321.0
629,417.0,298.0,470.0,313.0
630,415.0,292.0,469.0,310.0
631,418.0,303.0,471.0,318.0
632,420.0,314.0,475.0,334.0
633,422.0,323.0,475.0,340.0
634,418.0,323.0,472.0,338.0
635,417.0,321.0,468.0,338.0
636,410.0,316.0,460.0,331.0
637,391.0,310.0,441.0,326.0
638,373.0,308.0,422.0,323.0
639,352.0,306.0,402.0,321.0
640,342.0,311.0,392.0,331.0
641,335.0,336.0,387.0,355.0
642,324.0,348.0,374.0,362.0
643,310.0,338.0,357.0,349.0
644,290.0,324.0,337.0,331.0
645,269.0,287.0,314.0,291.0
646,241.0,275.0,289.0,292.0
647,216.0,294.0,265.0,313.0
648,205.0,311.0,262.0,325.0
649,227.0,295.0,286.0,301.0
650,256.0,278.0,315.0,287.0
651,278.0,274.0,338.5,288.5
652,304.0,279.0,362.0,290.0
653,321.0,276.0,380.0,290.0
654,340.0,272.0,397.5,294.0
655,354.0,280.0,415.0,298.0
656,372.0,288.0,422.0,299.25
657,382.0,276.0,429.0,300.5
658,386.0,278.0,436.0,301.75
659,390.0,285.0,443.0,303.0
660,383.0,292.0,434.0,306.0
661,374.0,297.0,434.0,295.0
662,374.0,276.0,434.0,284.0
663,382.0,260.0,434.0,273.0
664,389.0,245.0,440.0,260.0
665,397.0,244.0,438.8,260.2
666,401.0,254.0,437.6,260.4
667,397.0,253.0,436.4,260.6
668,392.0,246.0,435.2,260.8
669,381.0,239.0,434.0,261.0
670,377.0,238.0,426.0,255.0
671,382.0,248.0,434.0,266.0
672,380.0,243.0,434.0,260.0
673,380.0,241.0,432.0,258.0
674,371.0,241.0,422.0,262.0
675,368.0,240.0,419.0,258.0
676,370.0,238.0,423.0,256.0
677,370.0,236.0,423.0,256.0
678,375.0,242.0,428.0,259.0
679,381.0,237.0,434.0,256.0
680,391.0,235.0,445.0,254.0
681,408.0,234.0,468.0,251.0
682,439.0,224.0,499.0,238.0
683,473.0,207.0,530.0,223.0
684,484.0,196.0,535.0,217.0
685,470.0,229.0,515.0,255.0
686,449.0,249.0,498.0,270.0
687,433.0,235.0,482.0,253.0
688,428.0,225.0,477.0,242.0
689,421.0,220.0,473.0,241.0
690,427.0,225.0,478.0,243.0
691,435.0,231.0,484.0,250.0
692,439.0,229.0,490.0,248.0
693,445.0,227.0,493.0,243.0
694,446.0,222.0,493.0,242.0
695,445.0,220.0,493.0,241.0
696,450.0,225.0,497.0,244.0
697,451.0,228.0,498.0,248.0
698,452.0,229.0,499.0,248.0
699,455.0,233.0,501.0,251.0
700,467.0,234.0,513.0,254.0
701,476.0,235.0,521.0,254.0
702,478.0,230.0,521.0,248.0
703,476.0,226.0,520.0,245.0
704,479.0,216.0,523.0,235.0
705,482.0,215.0,523.0,235.0
706,483.0,221.0,525.0,242.0
707,483.0,222.0,527.0,241.0
708,482.0,206.0,526.0,224.0
709,481.0,219.0,526.0,248.0
710,474.0,247.0,521.0,272.0
711,475.0,253.0,518.0,276.0
712,473.0,252.0,519.0,273.0
713,474.0,247.0,518.0,265.0
714,471.0,240.0,517.0,254.0
715,469.0,230.0,515.0,245.0
716,464.0,234.0,512.0,258.0
717,462.0,248.0,512.0,270.0
718,463.0,254.0,512.0,271.0
719,464.0,248.0,515.0,264.0
720,469.0,233.0,519.0,248.0
721,474.0,225.0,527.0,240.0
722,485.0,223.0,535.0,241.0
723,499.0,208.0,551.0,222.0
724,499.0,230.0,556.0,248.0
725,502.0,221.0,547.0,241.0
726,502.0,214.0,548.0,230.0
727,484.0,234.0,539.0,253.0
728,479.0,245.0,527.0,263.0
729,478.0,245.0,528.0,262.0
730,470.0,240.0,517.0,258.0
731,465.0,241.0,511.0,260.0
732,458.0,245.0,508.0,264.0
733,455.0,247.0,503.0,266.0
734,455.0,254.0,505.0,273.0
735,459.0,251.0,511.0,268.0
736,470.0,247.0,524.0,264.0
737,480.0,244.0,537.0,262.0
738,493.0,250.0,545.0,272.0
739,511.0,259.0,563.0,279.0
740,511.0,265.0,568.0,284.0
741,516.0,269.0,566.0,288.0
742,514.0,271.0,567.0,291.0
743,505.0,270.0,557.0,287.0
744,498.0,261.0,550.0,281.0
745,488.0,259.0,539.0,276.0
746,478.0,256.0,529.0,273.0
747,478.0,256.0,532.0,274.0
748,476.0,256.0,529.0,274.0
749,472.0,256.0,525.0,274.0
750,471.0,255.0,526.0,274.0
751,472.0,260.0,528.0,278.0
752,472.0,258.0,525.0,277.0
753,468.0,256.0,523.0,275.0
754,467.0,261.0,521.0,279.0
755,460.0,258.0,516.0,275.0
756,459.0,263.0,513.0,280.0
757,457.0,255.0,512.0,274.0
758,445.0,247.0,501.0,265.0
759,434.0,259.0,489.0,273.0
760,424.0,265.0,480.0,282.0
761,422.0,265.0,476.0,280.0
762,424.0,260.0,478.0,277.0
763,424.0,255.0,478.0,271.0
764,430.0,261.0,484.0,276.0
765,434.0,269.0,489.0,285.0
766,438.0,267.0,491.0,283.0
767,445.0,272.0,498.0,288.0
768,453.0,276.0,506.0,293.0
